tag,detailed,trade_date,strike,fair,avg_lme,P0,PT,dP_pct,basis0,basisT,basis_min,basis_max,cover_mean,cover_max,churn,greedy_usd_oz,nohedge_usd_oz,full_lock_usd_oz,delta_ramp_usd_oz,greedy_minus_ramp,dcmp_locked_margin,dcmp_undercover_directional,dcmp_timing,dcmp_txn_cost,dcmp_state_residual,dcmp_recon_check,classification,avoidable_in_mandate,note
202011,True,2020-11-02,850.3,858.3,1202.4,855.8,1132.6,32.3,-1.8,62.4,-61.3,69.3,0.89,1.0,112.0,161.0,352.1,80.1,1.3,159.7,80.1,31.2,38.2,-1.2,12.8,148.3,upside-forfeit; greedy LUCKY directional WIN,N/A-WIN,"Massive rally then early-Mar crash. Greedy flat first 11d (caught upside) + held full short into the Mar crash -> +161, BEATING ramp +1.3 by +160. The winning side of the directional gamble."
202012,True,2020-12-01,967.8,975.8,1181.6,1001.2,1205.6,20.4,-30.2,-27.6,-61.3,69.3,0.64,1.0,356.0,-10.6,213.8,15.8,36.9,-47.6,15.8,70.5,-101.6,-4.1,8.8,-19.4,upside-forfeit + heavy timing-churn,MOSTLY-LOCKER,"Rally; flip-flopped (churn 356): full short Dec, covered Jan, re-shorted the Feb top. Net locker (-11). -47 vs ramp = churn/timing drag. Forfeit of +214 inherent."
202101,False,2021-01-01,1061.2,1069.2,1203.2,1074.3,1228.5,14.3,-9.3,-15.0,-61.3,69.3,0.65,1.0,462.0,-7.9,142.1,-8.4,11.4,-19.3,-8.4,51.9,-51.0,-4.5,4.1,-12.0,,,
202102,False,2021-02-01,1092.4,1100.4,1216.3,1137.1,1161.9,2.2,-38.6,16.6,-61.3,67.9,0.88,1.0,50.0,245.1,123.9,99.8,47.9,197.2,99.8,2.3,139.4,-0.6,4.3,240.8,,,
202103,False,2021-03-01,1203.0,1211.0,1129.8,1188.8,1084.7,-8.8,17.7,0.3,-43.2,96.1,0.65,1.0,169.0,46.8,-73.2,36.4,-1.6,48.4,36.4,-37.6,43.2,-2.0,6.7,40.1,,,
202104,False,2021-04-01,1172.6,1180.6,1088.1,1205.6,1018.8,-15.5,-27.6,34.2,-43.2,96.1,0.37,1.0,444.0,-14.6,-84.4,106.4,43.1,-57.7,106.4,-123.7,-6.1,-5.3,13.9,-28.6,,,
202105,True,2021-05-03,1209.4,1217.4,1011.3,1226.7,1020.0,-16.9,-13.2,-20.0,-36.0,96.1,0.51,1.0,238.0,-143.7,-198.2,13.8,29.7,-173.4,13.8,-101.8,-69.9,-2.5,16.8,-160.5,decline-undercover,YES,"Steady May-Aug decline (nohedge -198). Greedy covered to cov 0.25 DURING the decline (missed the hedge gain), re-shorted the Aug bottom. Beat nohedge +54 but -173 vs ramp. Ensemble landed near loser seed A (-166) not B (-93)."
202106,False,2021-06-01,1172.7,1180.7,976.6,1197.0,959.9,-19.8,-21.0,8.1,-71.2,96.1,0.52,1.0,312.0,-102.3,-196.1,47.4,38.4,-140.7,47.4,-115.4,-35.3,-3.1,4.1,-106.4,,,
202107,False,2021-07-01,1051.3,1059.3,1015.7,1077.7,1028.5,-4.6,-21.2,4.5,-71.2,65.9,0.64,1.0,381.0,-48.4,-35.6,19.0,26.9,-75.3,19.0,-19.3,-50.0,-3.9,5.7,-54.2,,,
202108,False,2021-08-02,1045.3,1053.3,1039.7,1053.9,925.8,-12.1,-3.4,13.7,-71.2,71.5,0.46,1.0,162.0,110.6,-5.7,127.0,23.6,87.0,127.0,-88.5,80.3,-1.7,-6.5,117.1,,,
202201,False,2022-01-03,952.7,960.7,967.3,953.7,982.1,3.0,6.8,-31.1,-57.3,59.6,0.29,1.0,300.0,6.5,14.6,-10.6,6.2,0.4,-10.6,19.4,-7.1,-3.0,7.8,-1.3,,,
202202,True,2022-02-01,1008.9,1016.9,955.6,1024.7,1017.1,-0.7,-6.2,-34.6,-57.3,59.6,0.3,1.0,200.0,-121.1,-53.3,-47.1,21.2,-142.3,-47.1,3.1,-67.1,-1.9,-8.0,-113.1,timing-churn / reverse-ramp,YES,"Flat through the Feb Ukraine spike + April selloff (missed hedgeable moves), then ramped short UP into the early-June rally (backwards delta). -68 vs nohedge, -142 vs ramp. Ensemble near loser seed A (-138) not B (+32)."
202203,False,2022-03-01,1055.1,1063.1,955.4,1052.2,877.3,-16.6,10.8,33.7,-48.1,55.4,0.42,1.0,431.0,23.4,-99.7,77.7,3.0,20.5,77.7,-100.6,44.7,-4.1,5.7,17.7,,,
202204,False,2022-04-01,986.9,994.9,873.1,984.5,925.4,-6.0,7.0,-24.4,-48.1,55.4,0.31,1.0,456.0,-64.1,-113.8,-50.0,17.2,-81.3,-50.0,-39.7,32.3,-4.2,-2.6,-61.5,,,
202205,False,2022-05-02,912.2,920.2,911.3,941.4,816.8,-13.2,-19.4,22.2,-48.1,48.7,0.28,1.0,150.0,97.0,-0.9,121.2,38.3,58.7,121.2,-93.2,57.9,-1.3,12.5,84.6,,,
202206,False,2022-06-01,954.7,962.7,878.5,997.1,947.3,-5.0,-34.1,-74.8,-74.8,50.6,0.26,1.0,425.0,-76.3,-76.3,-22.4,47.7,-124.0,-22.4,-29.6,-16.4,-3.8,-4.2,-72.1,,,
202207,False,2022-07-01,897.4,905.4,909.2,877.3,964.7,10.0,33.7,-45.2,-74.8,50.6,0.59,1.0,538.0,-81.5,11.8,-82.7,-46.9,-34.7,-82.7,18.1,-10.2,-3.9,-2.9,-78.7,,,
202208,False,2022-08-01,886.0,894.0,986.6,901.4,1025.9,13.8,-7.9,12.1,-74.8,50.6,0.32,1.0,325.0,54.7,100.7,-22.5,7.0,47.7,-22.5,97.2,-52.7,-3.2,35.8,18.9,,,
202209,False,2022-09-01,842.7,850.7,1009.4,803.6,1077.4,34.1,42.9,6.6,-74.8,50.6,0.77,1.0,444.0,-7.0,166.7,-103.9,-45.3,38.3,-103.9,58.9,41.0,-4.4,1.4,-8.5,,,
202210,False,2022-10-03,849.8,857.8,1056.1,915.3,974.9,6.5,-44.8,48.6,-74.8,48.6,0.76,1.0,150.0,139.7,206.3,130.5,53.8,85.8,130.5,58.6,-48.7,-0.5,-0.3,139.9,,,
202211,False,2022-11-01,919.8,927.8,960.4,955.8,976.8,2.2,-22.3,-2.3,-62.5,50.6,0.66,1.0,300.0,-5.4,40.6,8.4,29.9,-35.3,8.4,9.7,-57.0,-3.0,36.5,-41.9,,,
202212,False,2022-12-01,1031.0,1039.0,970.0,1054.6,1016.1,-3.6,-16.6,-15.1,-48.2,50.6,0.59,1.0,225.0,-20.2,-61.0,-23.1,19.3,-39.5,-23.1,-18.4,7.2,-2.3,16.4,-36.5,,,
202301,False,2023-01-02,1024.3,1032.3,1048.0,1078.7,1044.0,-3.2,-30.7,7.0,-30.7,50.6,0.88,1.0,212.0,-10.3,23.7,71.2,64.3,-74.6,71.2,23.0,-80.2,-1.1,-23.2,12.9,,,
202302,False,2023-02-01,999.7,1007.7,1058.8,996.2,999.6,0.3,4.8,11.9,-40.0,50.6,0.42,1.0,250.0,-24.4,59.1,63.9,3.2,-27.6,63.9,-14.1,-79.8,-2.6,8.2,-32.7,,,
202303,False,2023-03-01,960.4,968.4,971.6,958.9,907.4,-5.4,3.6,-2.9,-40.0,31.5,0.64,1.0,88.0,154.0,11.2,69.6,6.1,147.9,69.6,-40.9,118.8,-0.9,7.5,146.5,,,
202304,False,2023-04-03,990.8,998.8,946.6,984.5,921.0,-6.4,4.0,-3.5,-40.0,29.3,0.77,1.0,150.0,123.5,-44.2,29.4,5.4,118.1,29.4,9.7,85.6,-0.5,-0.8,124.3,,,
202305,False,2023-05-01,1068.9,1076.9,925.5,1084.3,964.4,-11.1,-13.8,15.1,-40.0,29.3,0.84,1.0,400.0,61.0,-143.4,-16.8,22.3,38.7,-16.8,-6.5,17.3,-3.9,70.9,-10.0,,,
202306,False,2023-06-01,1003.3,1011.3,924.0,1006.3,861.7,-14.4,-1.8,10.8,-23.6,29.6,0.64,1.0,188.0,18.7,-79.3,72.3,15.2,3.5,72.3,-60.4,15.9,-1.8,-7.3,26.0,,,
202307,False,2023-07-03,903.8,911.8,891.9,907.4,938.1,3.4,-2.9,-7.6,-23.6,29.6,0.74,1.0,225.0,14.8,-11.9,-35.0,15.7,-0.9,-35.0,8.0,21.2,-1.1,21.8,-7.0,,,
202308,False,2023-08-01,936.5,944.5,908.1,933.6,920.2,-1.4,2.9,8.8,-23.6,29.6,0.8,1.0,200.0,86.6,-28.4,-6.1,5.3,81.3,-6.1,-4.3,58.5,-1.9,40.3,46.3,,,
